                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 2.7683,                 2.0539,                 2.1044,                 2.6878,                  2.775,                 1.8644,                0.64239,                0.16057,                0.11595,                0.03847,                 2.7494,                 2.2454,                 2.0679,                 2.6215,                 2.9959,                  1.888,              0.0013204,              0.0013204,              0.0013204
                     24,                 2.7287,                 2.0852,                 2.1009,                 2.6782,                 2.8188,                 1.8867,                0.65412,                0.14193,                0.11552,                0.03715,                  2.735,                 2.3491,                 2.0523,                 2.6244,                 2.9576,                 1.8804,              0.0013039,              0.0013039,              0.0013039
                     25,                 2.7154,                 1.9855,                 2.0271,                 2.6879,                 2.6641,                 1.8064,                0.60877,                0.17232,                0.08952,                0.02847,                 2.7137,                 2.6148,                 2.0278,                 2.5533,                  3.313,                  1.842,              0.0012874,              0.0012874,              0.0012874
                     26,                 2.6968,                  2.055,                 2.0707,                 2.6574,                 2.7579,                 1.8438,                0.61462,                0.17232,                0.09568,                 0.0292,                 2.7312,                 2.5162,                 2.0494,                 2.5511,                 3.2765,                  1.863,              0.0012709,              0.0012709,              0.0012709
                     27,                 2.6981,                  2.026,                 2.0413,                 2.6839,                 2.7086,                 1.8193,                0.69765,                0.15144,                0.14099,                0.04748,                 2.7246,                 2.1618,                 2.0448,                  2.594,                 2.8788,                 1.8537,              0.0012544,              0.0012544,              0.0012544
                     28,                 2.6552,                 2.0354,                 2.0225,                 2.6109,                 2.7525,                   1.81,                0.60598,                0.13708,                0.08212,                0.02435,                 2.7275,                 2.5378,                 2.0715,                 2.5796,                 3.4232,                 1.9362,              0.0012379,              0.0012379,              0.0012379
                     29,                 2.6834,                 2.0438,                 2.0388,                  2.664,                 2.7532,                 1.8438,                0.61058,                0.14099,                0.08851,                0.02654,                 2.7711,                 2.8739,                 2.0716,                 2.5498,                 3.6797,                 1.9076,              0.0012214,              0.0012214,              0.0012214
                     30,                 2.6713,                 2.0168,                 1.9877,                 2.6334,                 2.6672,                 1.7786,                0.66966,                0.18237,                0.12933,                 0.0404,                 2.6574,                 2.5498,                 1.9917,                 2.5525,                 3.3318,                 1.8525,              0.0012049,              0.0012049,              0.0012049
                     31,                 2.6472,                  2.014,                 1.9948,                 2.5998,                 2.7026,                  1.794,                0.66871,                0.15823,                0.13239,                0.04296,                 2.6505,                 2.2429,                 1.9728,                 2.5282,                 3.0557,                 1.8202,              0.0011884,              0.0011884,              0.0011884
                     32,                 2.6719,                 1.9709,                 1.9969,                 2.6454,                   2.65,                 1.7902,                0.68784,                0.18146,                0.15829,                0.05483,                 2.6533,                 2.1347,                 1.9775,                 2.5074,                 2.8937,                 1.8197,              0.0011719,              0.0011719,              0.0011719
                     33,                 2.6383,                 2.0105,                 1.9959,                 2.6006,                 2.6824,                 1.7836,                0.65855,                0.16319,                0.13358,                0.04401,                 2.6513,                 2.1459,                 1.9823,                 2.5144,                 2.8252,                  1.804,              0.0011554,              0.0011554,              0.0011554
                     34,                 2.6365,                  1.973,                 1.9829,                 2.6117,                  2.632,                 1.7786,                 0.6486,                0.15927,                0.13233,                0.04128,                 2.6574,                 2.1955,                 1.9869,                 2.4762,                 2.9679,                 1.8175,              0.0011389,              0.0011389,              0.0011389
                     35,                 2.6602,                  2.028,                 1.9683,                 2.6524,                  2.665,                 1.7579,                0.63641,                0.16449,                0.11459,                0.03744,                 2.6926,                 2.3979,                 2.0036,                 2.5451,                 3.3754,                 1.8915,              0.0011224,              0.0011224,              0.0011224
                     36,                 2.6157,                 2.0178,                  1.991,                 2.5673,                 2.6761,                 1.7994,                0.63723,                0.19309,                0.12241,                 0.0401,                 2.6739,                 2.3208,                  1.969,                 2.5434,                 3.1977,                 1.8538,              0.0011059,              0.0011059,              0.0011059
                     37,                 2.6039,                 1.9906,                 1.9818,                 2.5739,                 2.6178,                 1.7793,                0.69294,                0.17308,                 0.1544,                0.05147,                 2.6427,                 2.2374,                 1.9497,                 2.5223,                 3.0411,                 1.8093,              0.0010894,              0.0010894,              0.0010894
                     38,                  2.583,                 2.0122,                 1.9348,                 2.5532,                 2.6375,                 1.7481,                0.68144,                0.18277,                 0.1455,                0.04772,                 2.6846,                 2.3288,                 1.9757,                 2.5294,                 3.1837,                   1.84,              0.0010729,              0.0010729,              0.0010729
                     39,                 2.6202,                 1.9892,                 1.9232,                 2.5838,                 2.6217,                  1.735,                0.64679,                0.17624,                0.12898,                0.03958,                 2.6868,                 2.2705,                 1.9708,                 2.5375,                 3.0231,                 1.8333,              0.0010564,              0.0010564,              0.0010564
                     40,                 2.5948,                 1.9869,                 1.9213,                 2.5684,                 2.6229,                 1.7494,                0.69427,                0.18277,                0.15846,                0.05372,                 2.6266,                 2.1988,                 1.9386,                 2.5004,                 2.9327,                 1.7838,              0.0010399,              0.0010399,              0.0010399
                     41,                 2.5806,                 1.9604,                 1.9047,                 2.5467,                 2.5831,                 1.7204,                 0.6565,                0.18799,                0.12596,                0.04024,                 2.6403,                 2.3349,                 1.9554,                 2.5373,                 3.2041,                 1.8295,              0.0010234,              0.0010234,              0.0010234
                     42,                 2.5662,                 1.9788,                 1.9468,                 2.5258,                 2.6345,                 1.7787,                0.69197,                0.17981,                0.15531,                0.05252,                 2.6434,                 2.1596,                  1.956,                 2.5102,                 2.9195,                 1.7922,              0.0010069,              0.0010069,              0.0010069
                     43,                   2.58,                 1.9668,                 1.9051,                 2.5734,                 2.6046,                 1.7159,                0.69136,                0.19843,                0.16535,                0.05545,                 2.6192,                 2.1363,                 1.9379,                 2.4764,                  2.848,                 1.7589,             0.00099036,             0.00099036,             0.00099036
                     44,                 2.6056,                 1.9859,                 1.9418,                 2.5537,                 2.6551,                 1.7506,                0.69277,                0.19191,                0.17115,                0.05693,                 2.6171,                 2.1509,                 1.9211,                 2.4598,                  2.843,                 1.7528,             0.00097386,             0.00097386,             0.00097386
                     45,                 2.5119,                 1.9067,                 1.8761,                 2.5011,                 2.5295,                 1.7011,                0.69331,                0.19713,                0.18482,                0.05856,                 2.6342,                 2.1611,                 1.9324,                 2.4918,                 2.7479,                 1.7724,             0.00095736,             0.00095736,             0.00095736
                     46,                 2.5876,                 1.9468,                 1.9122,                 2.5587,                 2.5732,                 1.7272,                0.67011,                0.17973,                0.15411,                0.04899,                 2.6363,                 2.1611,                 1.9193,                 2.4974,                 2.7933,                 1.7761,             0.00094085,             0.00094085,             0.00094085
                     47,                 2.5795,                 1.9665,                 1.9319,                 2.5463,                 2.5845,                 1.7528,                0.70253,                0.17244,                0.17306,                0.05978,                 2.6324,                 2.1119,                 1.9207,                  2.508,                 2.7587,                 1.7561,             0.00092435,             0.00092435,             0.00092435
                     48,                 2.5525,                 1.9107,                 1.8484,                 2.5451,                 2.5046,                 1.6588,                0.69735,                0.19582,                0.18957,                0.06793,                 2.6065,                 2.1092,                  1.916,                  2.454,                 2.7244,                 1.7382,             0.00090785,             0.00090785,             0.00090785
                     49,                 2.5665,                 1.9923,                 1.9582,                 2.5163,                 2.6217,                 1.7921,                0.71579,                0.17743,                0.17581,                0.05842,                 2.6177,                 2.0711,                 1.9083,                  2.442,                 2.7195,                 1.7296,             0.00089134,             0.00089134,             0.00089134
                     50,                 2.5475,                 1.9387,                 1.8773,                 2.4967,                 2.5349,                 1.6928,                0.69091,                  0.179,                0.17437,                0.06085,                 2.6318,                 2.0509,                 1.9207,                 2.4687,                 2.6528,                 1.7576,             0.00087484,             0.00087484,             0.00087484
